cliente;frecuencia;recencia;ticket_promedio;ticket;cl_value
901871958;6;21;140159.8824117647;2382718.0009999997;840959.2944705882
901893661;21;5;141276.24311685393;37720756.912200004;2966801.1054539327
901897490;10;12;139541.79950413224;16884557.740000002;1395417.9950413224
901905391;7;12;142063.74773333332;2557147.4592;994446.2341333332
901913837;10;47;193741.34210526315;7362171.0;1937413.4210526315
901921203;25;13;126576.16982999998;6328808.4915;3164404.24575
901923033;9;19;161962.59646086956;7450279.4372000005;1457663.368147826
901933116;10;20;133973.54806976745;5760862.567;1339735.4806976744
901948494;9;61;170719.5075388889;6145902.2714;1536475.56785
901950107;5;11;116363.57818181819;1279999.36;581817.8909090909
901978884;6;28;134204.05560869566;3086693.279;805224.333652174
901994218;6;11;646749.3734833334;15521984.9636;3880496.2409000006
902010477;5;26;215832.4590909091;4748314.100000001;1079162.2954545454
902020443;3;15;153365.53525000002;1226924.2820000001;460096.60575000005
902033011;4;1;199735.91;2796302.74;798943.64
1000352012;37;13;153329.31420991736;18552847.0194;5673184.625766942
1000922110;5;69;143130.52666666667;858783.16;715652.6333333333
1001144989;30;20;126914.57226126126;14087517.521;3807437.1678378377
1001577371;10;60;180716.63184;3614332.6368;1807166.3183999998
1002085278;37;5;181641.48841525425;42867391.266;6720735.071364407
1003124769;32;20;345051.97857746476;24498690.479;11041663.314478872
1003193739;40;12;212875.89516131388;29163997.6371;8515035.806452556
1004751623;16;21;714295.4807647059;24286046.346;11428727.692235295
1004993753;17;12;218996.93116666668;10511852.696;3722947.8298333334
1005682820;16;42;165432.38105686277;16874102.8678;2646918.0969098043
1007291642;19;12;160438.4036111111;5775782.53;3048329.668611111
1010053304;19;27;210141.3693846154;10927351.208;3992686.0183076924
1013342905;5;8;135291.56194285714;1894081.8672;676457.8097142857
1017134798;12;20;211673.31363636366;4656812.9;2540079.7636363637
1017191809;20;20;152627.07121290325;9462878.4152;3052541.424258065
1020421385;12;7;201681.12;3025216.8;2420173.44
1020425557;28;8;448036.9014;24642029.577;12545033.2392
1020440727;6;40;153653.41745454544;1690187.592;921920.5047272727
1020724058;3;61;153241.26942857142;1072688.886;459723.80828571424
