cliente;frecuencia;recencia;ticket_promedio;ticket;cl_value
9859222;4;7;63366.03488000001;633660.3488;253464.13952000003
10069826;8;47;84611.55;676892.4;676892.4
10170098;15;39;60368.16654718311;8572279.6497;905522.4982077467
10172302;15;11;102422.96965853659;4199341.756;1536344.5448780488
10888032;18;42;86250.10525000001;10350012.63;1552501.8945000002
11636484;13;21;77925.44740740741;4207974.16;1013030.8162962963
11690108;17;47;58250.264193548384;1805758.19;990254.4912903225
11705548;14;14;59694.833846153844;6208262.72;835727.6738461538
11706122;37;1;66978.94074766355;7166746.66;2478220.8076635515
11710383;12;70;59370.12239130434;2731025.63;712441.4686956521
11790038;13;41;108985.9176744186;4686394.46;1416816.9297674417
11794885;5;78;59132.73299999999;1182654.66;295663.665
11795225;13;27;82954.793;4811377.994;1078412.3090000001
11796031;17;41;111646.59759493671;8820081.21;1897992.159113924
11796049;17;41;86891.34956521739;3997002.08;1477152.9426086955
11798265;30;76;86252.39226229509;5261395.928;2587571.7678688527
11801422;17;7;88730.40852941177;3016833.89;1508416.945
11801627;6;54;58063.74153846154;754828.64;348382.44923076924
11805934;10;10;94094.7;2070083.4;940947.0
11814438;19;27;98849.95029629629;5337897.316;1878149.0556296294
11830504;16;42;60771.54105555556;2187775.478;972344.6568888889
13543005;34;7;103800.65854580153;27195772.539;3529222.390557252
13900097;20;41;59288.85369230769;1541510.196;1185777.073846154
14323236;2;63;100945.23012941176;1716068.9122;201890.46025882353
15263138;29;14;87326.92391428571;4890307.7392;2532480.7935142857
15263882;36;14;68830.36141095891;10049232.766;2477893.010794521
15264899;6;41;60292.9384;1507323.46;361757.6304
15274286;28;38;68752.76225806451;4262671.26;1925077.3432258063
15274528;18;41;64131.12909090908;2116327.26;1154360.3236363635
15286128;14;12;83208.60926052631;3161927.1519;1164920.5296473685
15296621;21;4;62954.957929411765;4280937.1392;1322054.1165176472
15307245;10;5;61071.83326956521;1404652.1652;610718.3326956521
15317952;12;12;88146.86996571429;3085140.4488;1057762.4395885714
15320811;34;5;89190.21021913044;10256874.1752;3032467.147450435
15321270;26;12;67136.21952554744;9197662.075;1745541.7076642334
15323165;39;12;60053.69476547619;20178041.4412;2342094.0958535713
15325312;23;11;56583.25769361702;2659413.1116;1301414.9269531914
15325517;29;12;75601.76381578947;11491468.1;2192451.1506578946
15333263;19;21;98519.18346666667;4433363.256;1871864.4858666668
15341249;28;4;72497.97046126761;10294711.8055;2029943.1729154931
15342368;16;4;95955.56138333333;6333067.0513;1535288.9821333333
15342818;12;54;69582.32164864865;2574545.901;834987.8597837838
15352394;3;42;91008.54000000001;364034.16000000003;273025.62
15366213;31;20;82645.8075232558;14215078.894;2562020.03322093
15378276;15;54;95713.98209333332;2871419.4628;1435709.7314
15379948;48;0;55647.21550111112;20032997.5804;2671066.3440533336
15381137;22;13;77836.97488;3891848.744;1712413.4473599999
15423260;31;13;105128.1736060606;34692297.29;3258973.381787879
15426926;20;42;85168.52375795454;14989660.1814;1703370.4751590907
15435684;14;40;60169.44037037037;1624574.8900000001;842372.1651851851
15437385;14;28;78969.37174074074;2132173.037;1105571.2043703704
15440700;4;54;72401.85524;1448037.1048;289607.42096
15445160;11;46;81654.7685;1633095.37;898202.4535000001
15447759;5;0;61281.49166666667;735377.9;306407.4583333334
15450631;31;12;65050.82806493506;5008913.761;2016575.670012987
15453035;12;19;84927.3842625;2717676.2964;1019128.61115
15453536;24;19;76475.79841818182;4206168.913;1835419.1620363635
15453561;22;50;64862.9216625;2594516.8665;1426984.276575
15453765;15;10;56175.10001666666;1348202.4004;842626.5002499999
15453961;8;71;68076.833;1361536.66;544614.664
15483593;20;6;58845.694390000004;2353827.7756000003;1176913.8878000001
15486171;14;4;106647.54211578947;4052606.6004;1493065.5896210526
15487996;26;26;78292.47687863249;9160219.7948;2035604.3988444447
15488331;38;5;72681.63962135922;7486208.881;2761902.3056116505
15488438;33;5;68240.50213298968;13238657.4138;2251936.5703886594
15502373;30;21;81506.34393939393;8069128.05;2445190.318181818
15504986;3;69;87078.44626666667;522470.6776;261235.3388
15514226;32;0;71984.04228070176;4103090.41;2303489.3529824563
15525103;23;5;116039.90217391304;5337835.5;2668917.75
15528381;34;18;75746.27922222222;5453732.104;2575373.4935555556
15530237;19;14;90800.5706202381;7627247.9321;1725210.8417845238
15534566;8;7;66801.7946;1670044.865;534414.3568
15536609;27;11;83534.19706451613;5179120.218;2255423.3207419356
15536972;34;26;77942.10313855422;19407583.6815;2650031.506710843
15538594;3;84;88967.29877777777;800705.689;266901.89633333334
15915933;29;19;97646.262745;5858775.7647;2831741.619605
16114768;14;40;57205.69777777777;2059405.1199999999;800879.7688888888
16231445;12;39;61609.08801111111;2772408.9605;739309.0561333334
16692389;16;21;66300.7232846154;4309547.0135;1060811.5725538463
17841043;26;12;96775.91831123596;8613056.729700001;2516173.876092135
18111470;24;13;104848.25648311687;8073315.7491999995;2516358.155594805
18183179;19;13;56711.05283272727;3119107.9058;1077510.0038218182
18398722;11;42;78171.45071428572;3283200.93;859885.9578571429
18412374;15;8;69108.60736226416;3662756.1902;1036629.1104339623
18602110;27;0;82249.25839999999;9869911.008;2220729.9768
18602663;35;14;71119.69888461538;11094673.026;2489189.4609615384
18613678;13;70;78099.84039215685;3983091.86;1015297.9250980391
19378622;29;5;56457.85927837838;8355763.1732;1637277.919072973
20829896;17;39;90662.29721351352;10063514.9907;1541259.0526297297
21418055;27;15;80942.76223770491;14812525.4895;2185454.5804180326
21419948;9;15;100008.09390625;1600129.5025;900072.8451562499
21435142;21;6;60505.32408510638;5687500.464;1270611.805787234
21468055;14;5;56337.096951612904;1746450.0055;788719.3573225806
21469404;2;63;67450.99333333333;404705.95999999996;134901.98666666666
21475699;17;14;80902.04274210526;7685694.0605;1375334.7266157893
21486567;24;14;82753.30343043478;7613303.9156;1986079.2823304348
21487024;57;18;103036.43281385282;23801415.98;5873076.670389611
21491845;14;55;57801.04285714286;1618429.2;809214.6
21493164;7;83;69503.57534000001;695035.7534;486525.0273800001
21552153;22;8;62482.96685294118;4248841.746;1374625.270764706
21558921;9;74;62842.62326666666;1131167.2188;565583.6094
21595490;4;5;77142.864;771428.64;308571.456
21626156;16;12;83928.1944516129;2601774.028;1342851.1112258064
21697396;22;14;61831.486037362636;5626665.2294;1360292.692821978
21769844;17;69;110475.39624615385;7180900.756;1878081.7361846154
21785666;35;13;58864.43076056338;8358749.168;2060255.0766197182
21785993;37;13;71107.73179816514;7750742.766;2630986.07653211
21788566;10;19;58481.87739130435;1345083.18;584818.7739130434
21791475;29;15;85096.59727560976;6977920.976600001;2467801.320992683
21818969;18;7;74978.98086666666;4498738.852;1349621.6556
21853782;20;14;57495.818215625004;3679732.3658000003;1149916.3643125
21873594;32;20;74223.49984210527;14102464.97;2375151.9949473687
21907849;8;67;56362.65182608696;1296340.992;450901.2146086957
21908904;27;18;58579.401563768115;8083957.4158;1581643.842221739
21954955;22;1;66094.00203055557;4758768.1462;1454068.0446722223
21969656;13;61;67706.20888125;2166598.6842;880180.71545625
21981868;20;8;58042.5493125;1857361.578;1160850.98625
21991951;15;6;95180.0234144144;10564982.599;1427700.351216216
21998393;3;5;61228.77692;306143.8846;183686.33075999998
22005764;20;11;64464.985909090916;4254689.07;1289299.7181818183
22043518;8;47;79481.3725925926;2145997.06;635850.9807407408
22058155;15;29;57712.05662857143;2019921.982;865680.8494285714
22117063;12;11;78288.84252631578;1487488.008;939466.1103157895
22117334;9;18;63931.088888888895;1150759.6;575379.8
22172726;24;26;97175.54971944445;6996639.5798;2332213.1932666665
22233484;32;26;57199.65613418531;17903492.37;1830388.9962939299
22239154;22;6;58094.606151136366;10224650.6826;1278081.335325
24365891;33;19;57943.37357043478;6663487.9606;1912131.3278243477
24369939;4;19;62909.369999999995;314546.85;251637.47999999998
24652391;6;57;89869.64926842105;1707523.3361;539217.8956105263
24712553;16;39;75308.79389230769;3916057.2824;1204940.702276923
24872452;15;81;83020.45335;2822695.4139;1245306.8002499999
26256895;11;29;56380.23846153846;1465886.2;620182.6230769231
26317121;14;0;70462.48363636364;2325261.96;986474.770909091
26323053;13;22;67566.68140350877;3851300.84;878366.8582456141
26323494;15;29;70688.26471527778;5089555.0595;1060323.9707291666
26328857;9;21;108114.86285714286;1513608.08;973033.7657142857
26348243;11;42;61570.77628571428;2154977.17;677278.5391428571
26350124;18;0;88485.93711206896;20528737.41;1592746.8680172414
27360332;32;11;91615.08329367817;31882048.9862;2931682.6653977013
27381578;6;82;60232.795319607845;3071872.5613;361396.7719176471
27400479;15;11;66249.80082167487;13448709.5668;993747.0123251231
27423532;15;39;76387.40310458015;10006749.8067;1145811.0465687022
27474915;17;21;101089.1892648485;16679716.2287;1718516.2175024245
27480482;12;84;103026.16452727273;10199590.2882;1236313.9743272727
30387004;11;25;71023.7772173913;1633546.876;781261.5493913043
32107143;32;11;55611.774563440864;5171895.0344;1779576.7860301076
32116654;15;62;58824.12579545455;2588261.535;882361.8869318182
32142691;20;26;68811.4301081081;2546022.914;1376228.602162162
32143740;17;21;58346.577647058824;1983783.6400000001;991891.8200000001
32181242;22;8;62419.030254545454;3433046.664;1373218.6656
32209981;13;63;61223.575661764706;2081601.5725;795906.4836029412
32211162;13;26;58208.79731904762;2444769.4874;756714.365147619
32212667;33;5;112766.89374018127;37325841.828;3721307.493425982
32220067;12;41;77733.93253846154;6063246.738;932807.1904615385
32220384;9;11;57850.93394642857;1619826.1505;520658.4055178572
32259477;17;8;56905.80048333333;2048608.8174;967398.6082166666
32303550;18;7;78631.27200000001;2358938.16;1415362.8960000002
32376445;34;5;57191.79708881119;8178426.9837;1944521.1010195804
32480373;31;20;85799.40772959183;33633367.83;2659781.6396173467
32556011;17;13;86988.28133333333;2870613.284;1478800.7826666667
32557564;26;26;64713.85435897436;5047680.64;1682560.2133333334
35589946;14;20;97479.25;1754626.5;1364709.5
35601941;3;10;71691.0375;573528.3;215073.11250000002
35690058;14;14;106747.64424242424;3522672.26;1494467.0193939393
35800122;20;18;61540.46493902439;2523159.0625;1230809.2987804879
35820683;13;40;58024.06871428571;1218505.443;754312.8932857143
35850003;20;19;95131.81333333334;5422513.36;1902636.2666666668
35898137;10;15;77433.7342;1548674.6840000001;774337.3420000001
36289287;17;0;80919.36087378641;8334694.17;1375629.134854369
39159716;68;6;86933.20461305362;74588689.558;5911457.913687646
39170976;13;25;74319.71543333333;2898468.9019;966156.3006333333
39172000;27;5;60863.99740784314;6208127.7356;1643327.9300117649
39172144;16;4;96473.58260833334;2315365.9826;1543577.3217333334
39183264;35;13;92233.04684782609;29699041.085;3228156.639673913
39183913;50;19;57274.06532608695;10538428.02;2863703.2663043477
39200687;9;12;98426.9678;1377977.5492;885842.7102
39279860;15;14;62942.09717391305;2895336.47;944131.4576086957
39302891;9;6;72932.64471304348;1677450.8284;656393.8024173913
39325635;25;42;61641.657282222215;5547749.1554;1541041.4320555553
39357734;25;26;70952.48038461538;3689528.98;1773812.0096153845
39409734;34;14;77279.23096116504;23879282.367;2627493.852679611
39422290;58;15;59940.98402586207;34765770.735;3476577.0735
39425515;13;21;99595.80191111112;4481811.086;1294745.4248444445
39428496;10;50;80619.93871923076;4192236.8134;806199.3871923076
39429710;12;40;74511.29956486486;2756918.0839;894135.5947783784
39430108;4;18;66806.7;400840.2;267226.8
40020884;33;14;76846.78735294117;7838372.31;2535943.9826470586
41108057;35;14;85384.27286483301;43460594.8882;2988449.5502691553
41634539;27;83;65086.24104878049;5337071.766;1757328.508317073
42693144;22;53;83169.56843999999;5821869.7908;1829730.5056799997
42730104;26;41;63942.61818095238;5371179.9272;1662508.0727047618
42758536;17;12;79754.7592;2392642.776;1355830.9064
42769631;35;12;64795.5087007874;16458059.21;2267842.8045275593
42783300;27;11;92865.07733333333;6964880.8;2507357.088
42785388;9;21;85584.92615384616;1112604.04;770264.3353846155
42820490;42;11;78312.57937699114;8849321.4696;3289128.333833628
42885703;38;6;58059.727898181816;9579855.1032;2206269.660130909
42894439;14;14;57148.03947368421;1085812.75;800072.552631579
