;cliente;frecuencia;recencia;ticket_promedio;ticket;cl_value;cluster;pca1;pca2
6184;1026160521;8;85;20148.416363636363;221632.58;161187.3309090909;2;-1.024174280005891;0.9697300892741585
6185;1026268643;8;7;15308.00905882353;260236.154;122464.07247058825;0;-1.6258516858226641;-0.3008800798563337
6186;1026552667;13;60;19065.331454545456;838874.584;247849.30890909093;2;-0.4283024673822473;0.4330795108319514
6187;1027522327;28;57;8858.53;425209.44;248038.84000000003;0;-0.300268094270307;-2.9312157026899097
6188;1027800012;15;17;19460.7915;778431.66;291911.8725;2;-0.07616738790289185;0.4349754122444594
6189;1027880922;18;53;20688.05606060606;682705.85;372385.0090909091;2;0.5670851961950679;0.6009809327314477
6190;1027884822;16;87;15537.847714285715;326294.802;248605.56342857145;0;-0.5383427418554262;-0.6343356815034864
6191;1027885593;20;36;21913.376666666667;1512022.99;438267.5333333333;1;1.0814770244687255;0.8153600523141248
6192;1027886025;38;35;17568.511743506493;2705550.8085;667603.4462532467;1;2.863329822233468;-1.205695075581894
6193;1027886124;23;9;20965.40875;838616.35;482204.40125;1;1.3798480171691798;0.417116020169186
6194;1027886382;4;60;17178.239166666666;206138.87;68712.95666666667;0;-1.9483913295332074;0.3892656381497082
6195;1027888950;5;3;13330.1875;159962.25;66650.9375;0;-2.243018774628492;-0.6747254398629438
6196;1027889453;30;86;17434.609263157894;1325030.304;523038.27789473685;1;1.713031515799346;-0.840285705970478
6197;1027891320;12;87;20384.21314285714;285378.984;244610.55771428568;2;-0.3899234262312633;0.8278936977563535
6198;1027940766;28;7;15177.518074418605;652633.2772;424970.50608372095;1;0.9772196213500675;-1.3170626426244796
6199;1027941293;10;24;16654.371666666666;299778.69;166543.71666666667;0;-1.1850662382678914;-0.04669388928075957
6200;1027943484;20;14;19817.516275862068;574707.972;396350.3255172414;1;0.7230406279416992;0.2740680824691057
6201;1027945367;7;84;16578.572615384615;215521.444;116050.0083076923;0;-1.604335890384484;0.08223441530244016
6202;1027945825;18;16;17072.825476190475;717058.67;307310.8585714286;0;-0.02304616401205761;-0.3352653413316139
6203;1027959853;22;36;17673.659214035088;1007398.5752;388820.5027087719;1;0.6377607762011988;-0.37957394058853217
6204;1028007529;16;43;14875.735151515151;490899.26;238011.76242424242;0;-0.6412671019664681;-0.8062719788819313
6205;1028012024;26;14;21204.279288135593;1251052.478;551311.2614915255;1;1.8867732397659414;0.324887791252816
6206;1028019386;26;18;17575.3246325;703012.9853;456958.440445;1;1.181376463464774;-0.604670563432796
6207;1028025029;15;14;14097.9506;281959.012;211469.259;0;-0.8889341358216344;-0.9595302187138608
6208;1028026619;20;64;14294.140333333335;428824.21;285882.8066666667;0;-0.22157332544478164;-1.1524386911897075
6209;1028030869;3;18;22917.531892307692;297927.9146;68752.59567692308;2;-1.4854537422758478;1.9557599327707378
6210;1028120133;15;4;18914.60375;453950.49;283719.05624999997;2;-0.15894501446282885;0.29294958915217695
6211;1030420594;25;16;18091.1434;904557.17;452278.585;1;1.1393335639577298;-0.42241902757527044
6212;1030621060;15;15;10066.525714285715;352328.4;150997.88571428572;0;-1.499917783283689;-2.0078262261367312
6213;1032070062;15;88;20443.45;490642.8;306651.75;2;0.0727596767354998;0.6904972218806652
6214;1032070123;22;36;21762.97058064516;674652.088;478785.3527741935;1;1.368960184879591;0.6736756686597101
6215;1032070308;7;37;20268.292307692307;263487.8;141878.04615384614;2;-1.1600571829313908;1.0520900104866027
6216;1032070541;3;18;22352.9175;89411.67;67058.7525;2;-1.5446463290221606;1.8065523230890375
6217;1032070711;13;14;16548.03722222222;893594.01;215124.48388888888;0;-0.7902111285971748;-0.22327153120901125
6218;1032249037;20;10;21226.808333333334;636804.25;424536.1666666667;1;0.9640593374656843;0.6380419794053939
6219;1032250895;4;24;20166.220092307693;262160.8612;80664.88036923077;2;-1.6235070782465912;1.177829161136234
6220;1032253837;14;78;20759.95303030303;685078.45;290639.3424242424;2;-0.031970592894163534;0.8238637240558159
6221;1032254668;2;78;21815.83;174526.64;43631.66;2;-1.757761753576711;1.7160574588937116
6222;1032328528;22;17;16051.63881355932;947046.69;353136.05389830505;1;0.34773141639841415;-0.7973441223709944
6223;1032390035;14;16;16774.05222222222;301932.94;234836.7311111111;0;-0.6205370277003835;-0.21400079273248396
6224;1032436071;4;8;17226.9;137815.2;68907.6;0;-1.9431004194511454;0.40210780786890166
6225;1033176079;24;15;17687.51353125;1132000.866;424500.32474999997;1;0.9217108954050378;-0.47596946366114806
6226;1033336178;11;67;16949.377777777776;305088.8;186443.15555555554;0;-1.0082363165352566;-0.019184262036604196
6227;1033338306;30;8;16856.106304347828;775380.89;505683.1891304348;1;1.5915731726140245;-0.98765313612581
6228;1033338750;15;72;20198.696702702706;747351.778;302980.45054054057;2;0.035666027082997195;0.6268537430527377
6229;1033340025;13;4;17608.23285714286;369772.89;228907.02714285717;2;-0.6377879521829011;0.05316040146388261
6230;1033651810;7;24;22825.517647058823;388033.8;159778.62352941177;2;-0.8521419852515691;1.7242655442275303
6231;1033656274;15;1;16921.69255319149;795319.55;253825.38829787233;0;-0.4609811894164623;-0.22526938056392093
6232;1033723236;7;80;22075.358;309055.012;154527.506;2;-0.9424686187553507;1.5270834838942857
6233;1033795172;30;6;13449.242814754098;1640807.6234;403477.2844426229;1;0.8762924837204813;-1.8555151058971526
6234;1034919334;10;14;11965.529720930232;514517.778;119655.29720930231;0;-1.804412547817493;-1.2742096938960685
6235;1034919892;2;11;18050.372;90251.86;36100.744;2;-2.1378622148245197;0.7196517019781022
6236;1035128437;29;3;20330.952105263157;1158864.27;589597.6110526315;1;2.1700991471611206;-0.05155888983073632
6237;1035222423;22;8;17727.02456521739;815443.13;389994.5404347826;1;0.6473028994904709;-0.36582907495196165
6238;1035223075;23;37;16373.29657894737;1244370.54;376585.8213157895;1;0.5408661854613414;-0.7640157198912632
6239;1035223348;21;10;22200.157590361447;1842613.08;466203.3093975904;1;1.2888275533907931;0.8378522063782887
6240;1035223957;5;15;14994.412222222221;134949.71;74972.0611111111;0;-2.055587902287174;-0.23610396527945227
6241;1035224397;19;25;19729.832289855072;1361358.428;374866.8135072464;2;0.5593572831880229;0.3021246278555345
6242;1035224546;7;45;21294.136;212941.36;149058.952;2;-1.0365354664667128;1.321736576550469
